, ,Time,StnPres,Temperature,RH,WS,WD,Precp,Holiday,target
334,5669,0,1008.6,18.2,67.0,0.1,0.0,0.0,0,0
335,5732,0,1011.8,18.1,96.0,1.3,82.0,0.0,0,0
336,5753,0,1011.4,19.2,99.0,2.1,80.0,1.0,0,0
337,5774,0,1009.0,21.3,99.0,1.7,73.0,0.0,0,0
338,5795,0,1009.2,23.1,92.0,0.0,0.0,0.0,0,0
339,5816,0,1009.9,22.3,98.0,1.5,66.0,0.0,0,0
340,5879,0,1008.4,25.7,76.0,1.1,77.0,0.0,0,0
341,5900,0,1009.6,22.6,95.0,0.8,77.0,0.0,0,0
342,5942,0,1009.8,22.5,89.0,1.0,72.0,0.0,0,0
343,5963,0,1007.3,22.7,85.0,0.0,0.0,0.0,0,0
344,6026,0,1010.8,20.7,76.0,1.0,74.0,0.0,0,0
345,6047,0,1008.6,22.5,82.0,0.6,87.0,0.0,0,0
346,6068,0,1009.6,21.4,92.0,1.1,81.0,0.0,0,0
347,6089,0,1008.8,21.3,93.0,1.4,76.0,0.0,0,0
348,6110,0,1008.9,22.5,87.0,1.1,226.0,0.0,0,0
349,6173,0,1010.9,20.5,91.0,1.8,85.0,0.0,0,0
350,6194,0,1014.3,17.1,92.0,2.8,74.0,0.0,0,0
351,6215,0,1012.7,18.4,91.0,1.6,76.0,0.0,0,0
352,6236,0,1012.4,21.2,78.0,2.0,71.0,0.0,0,0
353,6257,0,1010.7,20.9,86.0,0.1,0.0,0.0,0,0
354,6320,0,1013.7,19.0,75.0,0.0,0.0,0.0,0,0
355,6341,0,1014.5,18.8,76.0,2.4,71.0,0.0,0,0
356,6362,0,1011.7,21.4,64.0,0.0,0.0,0.0,0,0
357,6383,0,1009.5,21.6,81.0,1.0,75.0,0.0,0,0
358,6404,0,1009.4,20.9,81.0,0.1,0.0,0.0,0,0
359,6467,0,1007.3,21.5,88.0,1.3,71.0,0.0,0,0
360,6488,0,1010.9,20.3,91.0,1.4,74.0,0.0,0,0
361,6509,0,1015.6,17.1,97.0,0.9,75.0,0.0,0,1
362,6530,0,1015.9,16.9,99.0,1.1,76.0,0.5,0,0
363,6551,0,1012.6,18.0,99.0,1.4,66.0,0.5,0,0
364,6614,0,1017.8,14.6,88.0,2.2,78.0,0.0,0,0
365,6635,0,1018.0,16.1,97.0,2.1,78.0,1.0,0,1
366,6656,0,1018.2,16.6,97.0,2.5,76.0,0.0,0,1
